# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_protein_protein_contact	variants_effect_rare_amino_acid_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
INTS10	ENSG00000104613	ENST00000397977	protein_coding	526	2139	4720	5223	819	155	1194	117	2	3744	4711	0	0	0	54	96	96	873	7	319	8	1	1351	117
INTS12	ENSG00000138785	ENST00000340139	protein_coding	287	3641	3032	12615	318	90	645	9837	2	1638	2996	0	0	0	2322	42	42	387	7	189	7	2	964	513
INTS2	ENSG00000108506	ENST00000444766	protein_coding	768	3355	7915	13038	6561	32	228	1668	2	5616	7915	0	0	0	0	144	144	1305	7	466	7	2	2446	117
INTS3	ENSG00000143624	ENST00000318967	protein_coding	736	3396	6877	19782	2427	221	1704	10140	2	6786	6877	0	0	0	0	174	174	1575	7	373	8	1	2119	117
INTS4	ENSG00000149262	ENST00000534064	protein_coding	654	7172	6330	5118	687	14	105	117	2	5148	6312	0	0	0	4401	132	132	1197	7	376	7	2	1970	117
INTS5	ENSG00000185085	ENST00000330574	protein_coding	299	3094	6469	1491	516	22	159	513	2	234	6433	0	0	0	603	6	6	63	7	272	8	1	2457	117
INTS6	ENSG00000102786	ENST00000311234	protein_coding	593	5730	5851	7995	1575	153	1419	1722	2	3978	5842	0	0	0	3204	102	102	927	7	375	7	2	1757	117
INTS7	ENSG00000143493	ENST00000366994	protein_coding	623	2853	6374	9552	4269	37	315	117	2	4446	6320	0	0	0	225	114	114	1035	7	381	7	2	1948	1317
INTS8	ENSG00000164941	ENST00000523731	protein_coding	776	5427	6552	12429	4536	59	399	2556	2	6069	6543	0	0	0	2475	156	156	1413	7	450	7	2	1953	117
INTS9	ENSG00000104299	ENST00000521022	protein_coding	440	1990	4359	6000	1455	36	246	117	2	3744	4314	0	0	0	45	96	96	873	7	233	8	1	1366	1206
INTU	ENSG00000164066	ENST00000335251	protein_coding	602	3655	6199	35670	30903	43	309	1551	2	3510	6181	0	0	0	1197	90	90	819	7	407	8	1	1881	117
INVS	ENSG00000119509	ENST00000262457	protein_coding	623	10540	6990	7512	978	78	555	1881	2	3744	6981	0	0	0	7686	96	96	873	7	416	8	1	2179	1122
IP6K1	ENSG00000176095	ENST00000321599	protein_coding	230	1314	2928	24405	8484	137	906	12948	2	1170	2919	0	0	0	90	30	30	279	7	155	8	1	886	1137
IP6K2	ENSG00000068745	ENST00000328631	protein_coding	262	1188	3107	3900	810	78	672	1371	2	1170	2819	0	0	0	369	30	30	279	7	187	8	1	819	117
IP6K3	ENSG00000161896	ENST00000293756	protein_coding	227	1246	2700	5295	3150	126	981	117	2	1170	2700	0	0	0	81	30	30	279	7	152	8	1	829	117
IPCEF1	ENSG00000074706	ENST00000367220	protein_coding	344	3856	2886	3303	648	60	375	117	2	2574	2886	0	0	0	2502	66	66	603	7	197	8	1	850	117
IPMK	ENSG00000151151	ENST00000373935	protein_coding	272	1288	2760	16776	13677	111	969	117	2	1170	2733	0	0	0	207	30	30	279	7	197	8	1	805	1083
IPO11	ENSG00000086200	ENST00000409296	protein_coding	810	19960	6723	15345	1158	58	390	117	2	14955	6696	0	0	0	16890	174	174	1575	7	448	7	2	1982	117
IPO13	ENSG00000117408	ENST00000372343	protein_coding	1250	24663	6300	14436	1020	236	1986	7779	2	4446	6291	0	690	0	21690	114	114	1035	7	317	8	1	2050	117
IPO4	ENSG00000196497	ENST00000354464	protein_coding	696	8143	7022	19893	669	78	531	7050	2	6780	6950	0	0	0	4644	174	174	1575	7	333	8	1	2437	6255
IPO5	ENSG00000065150	ENST00000261574	protein_coding	816	19560	7478	13407	7425	68	540	117	2	6552	7415	0	0	0	16353	168	168	1521	7	465	8	1	2146	117
IPO7	ENSG00000205339	ENST00000379719	protein_coding	747	4961	6997	13920	8796	60	426	117	2	5616	6943	0	0	0	2133	144	144	1305	7	444	8	1	1946	117
IPO8	ENSG00000133704	ENST00000256079	protein_coding	753	4242	6925	11331	5616	130	1017	117	2	5616	6889	0	0	0	1287	144	144	1305	7	450	8	1	1985	117
IPO9	ENSG00000198700	ENST00000361565	protein_coding	649	4403	6912	39357	24720	24	207	1431	2	5382	6858	0	0	0	1449	138	138	1251	7	359	7	2	2143	8721
IPP	ENSG00000197429	ENST00000396478	protein_coding	375	6159	3837	8112	3765	33	309	2433	2	1872	3819	0	0	0	4662	48	48	441	7	264	8	1	1164	117
IPPK	ENSG00000127080	ENST00000287996	protein_coding	355	1799	3237	25674	7944	99	831	1596	2	15762	3237	0	0	0	279	72	72	657	7	197	7	2	976	117
IQCA1	ENSG00000132321	ENST00000409907	protein_coding	609	5065	5450	6018	1611	99	825	117	2	4212	5450	0	0	0	2745	108	108	981	7	379	7	2	1560	117
IQCB1	ENSG00000173226	ENST00000310864	protein_coding	480	3477	3950	5928	1746	89	645	117	2	3276	3914	0	0	0	1710	84	84	765	7	297	8	1	1162	816
IQCC	ENSG00000160051	ENST00000537469	protein_coding	296	1288	3566	11772	1815	17	141	3663	2	936	3557	0	0	0	9	24	24	225	7	233	8	1	1115	5409
IQCD	ENSG00000166578	ENST00000416617	protein_coding	257	1685	2987	5850	396	66	573	3507	2	936	2987	0	0	0	594	24	24	225	7	194	8	1	851	630
IQCE	ENSG00000106012	ENST00000402050	protein_coding	510	7888	4518	20028	13716	64	552	117	2	4914	4509	0	0	0	5571	126	126	1143	7	243	8	1	1494	1737
IQCF1	ENSG00000173389	ENST00000310914	protein_coding	148	1112	1316	1023	42	29	189	117	2	702	1316	0	0	0	540	18	18	171	7	97	8	1	423	117
IQCF2	ENSG00000184345	ENST00000333127	protein_coding	114	958	1068	855	162	10	87	117	2	468	1068	0	0	0	540	12	12	117	7	76	7	2	323	117
IQCF3	ENSG00000229972	ENST00000437810	protein_coding	159	937	1001	3765	78	333	2337	117	2	1404	1001	0	0	0	0	36	36	333	7	72	8	1	304	117
IQCF5	ENSG00000214681	ENST00000446461	protein_coding	99	897	965	615	36	23	159	117	2	234	965	0	0	0	540	6	6	63	7	72	8	1	286	117
IQCF6	ENSG00000214686	ENST00000398780	protein_coding	66	523	682	552	177	20	141	117	2	0	682	0	0	0	270	0	0	9	7	51	8	1	221	117
IQCG	ENSG00000114473	ENST00000265239	protein_coding	351	1420	2985	21981	1515	187	1275	13320	2	5391	2985	0	0	0	0	66	66	603	7	204	8	1	789	1008
IQCH	ENSG00000103599	ENST00000335894	protein_coding	676	3057	6786	8094	3174	28	198	117	2	4680	6786	0	0	0	270	120	120	1089	7	421	8	1	2027	885
IQCJ	ENSG00000214216	ENST00000451172	protein_coding	130	948	1031	2385	900	45	315	117	2	936	1031	0	0	0	423	24	24	225	7	67	8	1	324	309
IQCJ-SCHIP1	ENSG00000250588	ENST00000485419	protein_coding	329	1555	3755	7845	1752	74	507	117	2	5832	3755	0	0	0	0	60	60	549	7	194	8	1	1109	117
IQCK	ENSG00000174628	ENST00000320394	protein_coding	245	1198	1886	11472	3111	278	2097	1407	2	2106	1886	0	0	0	0	54	54	495	7	123	7	2	565	3183
IQGAP1	ENSG00000140575	ENST00000268182	protein_coding	1614	28851	11401	13893	6405	43	372	117	2	8658	10969	0	456	0	24660	222	222	2007	7	700	7	2	3235	117
IQGAP2	ENSG00000145703	ENST00000274364	protein_coding	1268	12869	10762	20847	2457	101	891	117	2	18945	10411	0	114	0	8811	210	210	1899	7	719	8	1	3036	117
IQGAP3	ENSG00000183856	ENST00000361170	protein_coding	1100	12945	10711	10392	3243	3	33	117	2	8658	10648	0	72	0	8208	222	222	2007	7	569	8	1	3453	117
IQSEC1	ENSG00000144711	ENST00000429247	protein_coding	520	3052	7530	2961	0	38	309	117	2	3042	7530	0	0	0	0	78	78	711	7	357	0	0	2544	117
IQSEC2	ENSG00000124313	ENST00000396435	protein_coding	600	13428	9738	7470	4029	72	603	117	2	3276	9666	0	0	0	9612	84	84	765	7	417	8	1	3300	117
IQSEC3	ENSG00000120645	ENST00000326261	protein_coding	534	3163	7649	12780	9942	0	0	117	2	3276	7649	0	0	0	0	84	84	765	7	351	8	1	2629	117
IQUB	ENSG00000164675	ENST00000324698	protein_coding	540	4439	5247	4011	1014	74	531	117	2	2808	5247	0	0	0	2421	72	72	657	7	381	8	1	1482	117
IRAK1	ENSG00000184216	ENST00000369980	protein_coding	383	9634	4669	7233	4077	58	504	117	2	3042	4570	0	0	0	7578	78	78	711	7	212	8	1	1617	117
IRAK1BP1	ENSG00000146243	ENST00000369940	protein_coding	161	1713	1736	15411	14304	46	315	117	2	702	1682	0	0	0	1062	18	18	171	7	110	8	1	539	117
IRAK2	ENSG00000134070	ENST00000256458	protein_coding	376	8146	4091	9561	4545	31	270	2397	2	2808	4091	0	0	0	6363	72	72	657	7	217	8	1	1308	117
IRAK3	ENSG00000090376	ENST00000261233	protein_coding	404	7393	3966	22896	19353	174	1263	117	2	2574	3948	0	0	0	5679	66	66	603	7	258	7	2	1149	117
IRAK4	ENSG00000198001	ENST00000448290	protein_coding	330	1346	3059	10146	4143	31	213	117	2	2574	3059	0	0	0	0	66	66	603	7	184	7	2	888	3627
IREB2	ENSG00000136381	ENST00000258886	protein_coding	685	2813	6508	14526	9939	61	447	117	2	4914	6256	0	0	0	252	126	126	1143	7	418	8	1	1984	117
IRF1	ENSG00000125347	ENST00000245414	protein_coding	243	1077	2163	9711	7026	90	777	117	2	2106	2163	0	0	0	0	54	54	495	7	120	8	1	633	117
IRF2	ENSG00000168310	ENST00000393593	protein_coding	234	2541	2382	5481	3135	93	624	117	2	1872	2328	0	0	0	1503	48	48	441	7	124	7	2	680	117
IRF2BP1	ENSG00000170604	ENST00000302165	protein_coding	187	2573	3796	5916	1236	130	1032	117	2	0	3697	0	0	0	1152	0	0	9	7	172	8	1	1378	3531
IRF2BP2	ENSG00000168264	ENST00000366609	protein_coding	178	3195	3886	9117	8604	11	93	117	2	234	3769	0	0	0	1899	6	6	63	7	151	8	1	1354	117
IRF2BPL	ENSG00000119669	ENST00000238647	protein_coding	245	5472	5206	5502	2571	294	2697	117	2	0	5098	0	0	0	3447	0	0	9	7	230	8	1	1827	117
IRF3	ENSG00000126456	ENST00000601291	protein_coding	607	4851	2997	9468	51	67	540	3168	2	1833	2898	0	366	0	3582	42	42	387	7	143	7	2	1018	4212
IRF4	ENSG00000137265	ENST00000380956	protein_coding	294	3373	2994	13647	11547	40	378	117	2	1872	2976	0	0	0	2142	48	48	441	7	183	8	1	891	117
IRF5	ENSG00000128604	ENST00000357234	protein_coding	281	4543	3436	2127	42	46	363	117	2	1872	3346	0	0	0	3168	48	48	441	7	171	7	2	1100	117
IRF6	ENSG00000117595	ENST00000367021	protein_coding	284	2546	3134	16980	8187	81	519	6669	2	1872	3107	0	0	0	1242	48	48	441	7	174	7	2	913	117
IRF7	ENSG00000185507	ENST00000330243	protein_coding	275	4051	3352	23502	162	145	1161	10953	2	2100	3289	0	0	0	2421	54	54	495	7	152	8	1	1194	9558
IRF8	ENSG00000140968	ENST00000268638	protein_coding	268	2554	2817	6969	3981	167	1266	117	2	1872	2799	0	0	0	1224	48	48	441	7	158	7	2	868	117
IRF9	ENSG00000213928	ENST00000396864	protein_coding	251	2517	2571	7770	1107	119	861	117	2	1872	2571	0	0	0	1269	48	48	441	7	140	8	1	817	4197
IRG1	ENSG00000102794	ENST00000377462	protein_coding	208	1198	3155	3135	1971	22	186	117	2	936	3155	0	0	0	0	24	24	225	7	145	8	1	1020	117
IRGC	ENSG00000124449	ENST00000244314	protein_coding	164	3030	2959	1230	213	84	597	117	2	234	2959	0	0	0	1818	6	6	63	7	138	7	2	1061	117
IRGM	ENSG00000237693	ENST00000522154	protein_coding	85	2397	1196	3759	0	480	3339	117	2	234	1196	0	0	0	1494	6	6	63	7	59	7	2	365	117
IRGQ	ENSG00000167378	ENST00000422989	protein_coding	200	1741	3861	34539	22971	66	468	2394	2	468	3861	0	0	0	0	12	12	117	7	161	8	1	1576	8334
IRS1	ENSG00000169047	ENST00000305123	protein_coding	673	10111	8391	18348	14865	395	3063	117	2	234	8130	0	318	0	7200	6	6	63	7	328	8	1	2711	117
IRS2	ENSG00000185950	ENST00000375856	protein_coding	339	6391	8967	9366	7401	151	1545	117	2	234	8580	0	0	0	3438	6	6	63	7	312	8	1	3141	117
IRS4	ENSG00000133124	ENST00000372129	protein_coding	449	7704	8180	732	267	25	231	117	2	0	8117	0	0	0	4977	0	0	9	7	435	7	2	2752	117
IRX1	ENSG00000170549	ENST00000302006	protein_coding	176	1929	3087	2037	1089	17	156	117	2	702	3087	0	0	0	693	18	18	171	7	125	8	1	1099	117
IRX2	ENSG00000170561	ENST00000302057	protein_coding	214	1844	3009	6657	2394	81	726	117	2	702	3000	0	0	0	585	18	18	171	7	163	8	1	1067	2862
IRX3	ENSG00000177508	ENST00000329734	protein_coding	194	4109	3176	4077	1146	234	2139	117	2	702	3176	0	0	0	2574	18	18	171	7	143	8	1	1181	117
IRX4	ENSG00000113430	ENST00000231357	protein_coding	220	2080	3303	2961	1626	38	357	117	2	936	3303	0	0	0	684	24	24	225	7	157	8	1	1202	117
IRX5	ENSG00000176842	ENST00000394636	protein_coding	202	2092	3077	3453	1836	109	1011	117	2	468	3068	0	0	0	801	12	12	117	7	164	7	2	1106	117
IRX6	ENSG00000159387	ENST00000290552	protein_coding	249	2280	2831	6525	1365	512	3996	117	2	1170	2831	0	0	0	576	30	30	279	7	174	8	1	1000	117
ISCA1	ENSG00000135070	ENST00000452279	protein_coding	112	561	1125	2688	1410	52	486	117	2	702	1125	0	0	0	0	18	18	171	7	61	8	1	389	117
ISCA2	ENSG00000165898	ENST00000556816	protein_coding	106	551	992	17448	6318	20	165	9615	2	702	983	0	0	0	81	18	18	171	7	55	8	1	339	792
ISCU	ENSG00000136003	ENST00000311893	protein_coding	125	836	1127	4323	1404	6	66	117	2	936	1064	0	0	0	369	24	24	225	7	62	8	1	368	1992
ISG15	ENSG00000187608	ENST00000379389	protein_coding	1034	2875	1107	1059	186	69	453	117	2	234	1062	0	966	0	2430	6	6	63	7	42	7	2	372	117
ISG20	ENSG00000172183	ENST00000306072	protein_coding	244	667	1170	4722	2856	128	1074	117	2	702	1170	0	144	0	0	18	18	171	7	49	8	1	401	117
ISG20L2	ENSG00000143319	ENST00000313146	protein_coding	170	1149	2315	11808	4374	343	2349	117	2	468	2315	0	0	0	0	12	12	117	7	131	8	1	722	4596
ISL1	ENSG00000016082	ENST00000230658	protein_coding	196	4325	2330	6279	3360	203	1755	117	2	1170	2321	0	0	0	3249	30	30	279	7	121	8	1	690	117
ISL2	ENSG00000159556	ENST00000290759	protein_coding	179	3187	2378	3567	1923	68	480	117	2	1170	2360	0	0	0	2187	30	30	279	7	104	8	1	758	117
ISLR	ENSG00000129009	ENST00000249842	protein_coding	134	1194	2767	6141	2181	159	1071	2586	2	234	2767	0	0	0	0	6	6	63	7	107	8	1	969	117
ISLR2	ENSG00000167178	ENST00000361742	protein_coding	264	2262	4734	16695	5430	339	2307	117	2	702	4734	0	0	0	0	18	18	171	7	213	8	1	1749	8283
ISM1	ENSG00000101230	ENST00000262487	protein_coding	236	1122	3078	4758	3576	2	18	117	2	1170	3078	0	0	0	0	30	30	279	7	162	7	2	927	117
ISM2	ENSG00000100593	ENST00000342219	protein_coding	294	4442	3748	5466	3594	24	171	468	2	1404	3721	0	0	0	3015	36	36	333	7	207	8	1	1202	117
ISOC1	ENSG00000066583	ENST00000173527	protein_coding	167	813	1925	4107	3081	4	48	117	2	936	1916	0	0	0	9	24	24	225	7	104	8	1	653	117
ISOC2	ENSG00000063241	ENST00000085068	protein_coding	131	1531	1425	2532	957	48	411	117	2	1170	1407	0	0	0	774	30	30	279	7	56	8	1	517	117
ISPD	ENSG00000214960	ENST00000407010	protein_coding	764	4676	2945	3417	1509	0	0	117	2	2106	2945	0	456	0	3420	54	54	495	7	185	8	1	920	117
IST1	ENSG00000182149	ENST00000535424	protein_coding	256	1196	2457	2736	480	48	348	117	2	2106	2457	0	0	0	0	54	54	495	7	133	8	1	812	117
ISX	ENSG00000175329	ENST00000308700	protein_coding	130	1023	1588	8730	5082	374	2856	117	2	702	1588	0	0	0	0	18	18	171	7	79	8	1	529	117
ISY1	ENSG00000240682	ENST00000273541	protein_coding	315	1137	2004	4620	2121	30	219	117	2	2574	1986	0	0	0	117	66	66	603	7	168	8	1	600	117
ISY1-RAB43	ENSG00000261796	ENST00000418265	protein_coding	328	1158	2129	18459	11433	24	183	135	2	7131	2129	0	0	0	0	72	72	657	7	169	8	1	672	153
ISYNA1	ENSG00000105655	ENST00000338128	protein_coding	276	1716	3647	12453	1575	74	654	6213	2	2340	3620	0	0	0	27	60	60	549	7	141	8	1	1252	2151
ITCH	ENSG00000078747	ENST00000262650	protein_coding	1213	2770	5939	6015	723	61	408	117	2	5850	5939	0	480	0	0	150	150	1359	7	419	7	2	1760	117
ITFG1	ENSG00000129636	ENST00000320640	protein_coding	427	2990	4169	8535	3996	92	687	117	2	3978	4061	0	0	0	1152	102	102	927	7	208	8	1	1230	573
ITFG2	ENSG00000111203	ENST00000228799	protein_coding	293	2436	2926	12897	2634	69	417	7683	2	2574	2917	0	0	0	1017	66	66	603	7	146	8	1	951	117
ITFG3	ENSG00000167930	ENST00000301678	protein_coding	297	9059	3656	12936	3294	52	432	6834	2	2835	3602	0	0	0	7362	72	72	657	7	138	8	1	1219	117
ITFG3	ENSG00000269881	ENST00000600536	protein_coding	303	1697	3461	16434	1515	52	423	5373	2	9582	3461	0	0	0	0	72	72	657	7	144	8	1	1165	117
ITGA1	ENSG00000213949	ENST00000282588	protein_coding	832	45465	7987	39183	20277	179	1374	117	2	18642	7753	0	0	0	42132	168	168	1521	7	481	8	1	2368	117
ITGA10	ENSG00000143127	ENST00000369304	protein_coding	717	30257	7628	14808	4770	67	525	117	2	6786	7529	0	0	0	26622	174	174	1575	7	354	8	1	2611	4002
ITGA11	ENSG00000137809	ENST00000423218	protein_coding	724	14684	8019	9957	4041	39	288	117	2	6786	7875	0	0	0	11277	174	174	1575	7	361	8	1	2456	117
ITGA2	ENSG00000164171	ENST00000296585	protein_coding	809	3480	7803	20649	12540	53	429	2169	2	6786	7803	0	0	0	0	174	174	1575	7	446	8	1	2371	117
ITGA2B	ENSG00000005961	ENST00000262407	protein_coding	683	39247	6756	6261	543	18	96	117	2	6780	6702	0	0	0	35907	174	174	1575	7	320	8	1	2320	117
ITGA3	ENSG00000005884	ENST00000007722	protein_coding	639	26874	7047	6072	1392	0	0	117	2	5598	6921	0	0	0	23796	144	144	1305	7	336	8	1	2328	117
ITGA4	ENSG00000115232	ENST00000397033	protein_coding	768	33323	7066	9696	1980	153	1290	1287	2	6318	6823	0	0	0	30402	162	162	1467	7	430	7	2	2026	117
ITGA5	ENSG00000161638	ENST00000293379	protein_coding	715	37681	6918	9936	3096	92	786	543	2	6786	6765	0	0	0	34371	174	174	1575	7	352	8	1	2315	117
ITGA6	ENSG00000091409	ENST00000264106	protein_coding	781	3269	7404	12096	6603	66	609	117	2	5850	7404	0	0	0	0	150	150	1359	7	466	8	1	2291	117
ITGA7	ENSG00000135424	ENST00000555728	protein_coding	667	29793	7722	11022	1065	10	87	5103	2	5850	7668	0	0	0	26325	150	150	1359	7	352	8	1	2600	117
ITGA8	ENSG00000077943	ENST00000378076	protein_coding	771	30450	7138	16317	9627	112	1062	117	2	6786	6994	0	0	0	27270	174	174	1575	7	408	8	1	2156	117
ITGA9	ENSG00000144668	ENST00000264741	protein_coding	677	28478	6923	19599	13575	96	768	117	2	6318	6824	0	0	0	25353	162	162	1467	7	338	8	1	2144	117
ITGAD	ENSG00000156886	ENST00000389202	protein_coding	710	30865	7681	8928	1131	19	147	2139	2	6786	7600	0	0	0	27378	174	174	1575	7	348	7	2	2492	117
ITGAE	ENSG00000083457	ENST00000263087	protein_coding	752	51129	7855	15573	657	42	297	117	2	15825	7756	0	0	0	47625	180	180	1629	7	377	8	1	2469	117
ITGAL	ENSG00000005844	ENST00000356798	protein_coding	748	34226	7865	18318	4560	71	540	7521	2	7020	7685	0	0	0	30780	180	180	1629	7	373	8	1	2463	117
ITGAM	ENSG00000169896	ENST00000544665	protein_coding	717	15751	7731	9396	3555	37	213	117	2	6786	7560	0	0	0	12375	174	174	1575	7	354	8	1	2454	117
ITGAV	ENSG00000138448	ENST00000261023	protein_coding	779	40084	7023	17277	10827	99	822	117	2	6786	6870	0	0	0	36945	174	174	1575	7	417	7	2	2136	117
ITGAX	ENSG00000140678	ENST00000562522	protein_coding	719	3600	7670	7254	1341	10	99	117	2	7020	7670	0	0	0	0	180	180	1629	7	344	8	1	2498	117
ITGB1	ENSG00000150093	ENST00000374956	protein_coding	579	2145	5514	7050	3615	18	225	117	2	3744	5514	0	0	0	0	96	96	873	7	373	7	2	1529	117
ITGB1BP1	ENSG00000119185	ENST00000355346	protein_coding	1814	5025	1334	14655	3450	82	630	8514	2	1404	1307	0	1638	0	4329	36	36	333	7	89	8	1	395	945
ITGB1BP2	ENSG00000147166	ENST00000373829	protein_coding	269	7396	2287	9537	537	28	219	117	2	2337	2287	0	0	0	6303	60	60	549	7	134	8	1	693	6807
ITGB2	ENSG00000160255	ENST00000302347	protein_coding	452	2243	5066	4959	1236	84	699	117	2	3510	5066	0	0	0	0	90	90	819	7	257	8	1	1589	117
ITGB3	ENSG00000259207	ENST00000559488	protein_coding	472	40992	5283	7722	4836	4	48	117	2	3276	5202	0	0	0	38961	84	84	765	7	290	7	2	1591	117
ITGB3	ENSG00000259753	ENST00000560629	nonsense_mediated_decay	510	2243	5209	12918	1269	0	3	1266	0	10926	5209	0	0	0	0	102	102	927	0	299	7	2	1566	270
ITGB3BP	ENSG00000142856	ENST00000371092	protein_coding	231	1930	1477	6153	996	35	183	1416	2	2106	1432	0	0	0	1197	54	54	495	7	108	8	1	395	1884
ITGB4	ENSG00000132470	ENST00000200181	protein_coding	13634	63415	12016	11484	789	52	561	2763	2	9126	11917	0	12612	0	58095	234	234	2115	7	539	8	1	3933	117
ITGB5	ENSG00000082781	ENST00000296181	protein_coding	460	35630	5379	8754	5025	99	891	117	2	3276	5289	0	0	0	33489	84	84	765	7	277	8	1	1616	117
ITGB6	ENSG00000115221	ENST00000283249	protein_coding	490	2182	5220	9762	6210	110	714	117	2	3276	5220	0	0	0	0	84	84	765	7	307	8	1	1556	117
ITGB7	ENSG00000139626	ENST00000267082	protein_coding	461	2401	5191	19311	714	97	696	10878	2	3510	5191	0	0	0	0	90	90	819	7	266	8	1	1716	4233
ITGB8	ENSG00000105855	ENST00000222573	protein_coding	528	28595	5156	21975	17271	283	2052	117	2	3042	5093	0	0	0	26433	78	78	711	7	358	7	2	1461	117
ITGBL1	ENSG00000198542	ENST00000376180	protein_coding	385	13776	3292	10221	2370	89	657	5217	2	2340	3283	0	0	0	12420	60	60	549	7	251	7	2	903	117
ITIH1	ENSG00000055957	ENST00000273283	protein_coding	536	21814	6080	6777	453	8	72	2229	2	4914	6026	0	0	0	19197	126	126	1134	7	269	8	1	1895	117
ITIH2	ENSG00000151655	ENST00000358415	protein_coding	606	11055	6333	15804	558	78	498	10911	2	4680	6261	0	0	0	8424	120	120	1089	7	352	7	2	1892	117
ITIH3	ENSG00000162267	ENST00000449956	protein_coding	544	10897	5948	8949	984	1	18	1236	2	4914	5930	0	0	0	8352	126	126	1134	7	277	8	1	1794	2805
ITIH4	ENSG00000055955	ENST00000485816	protein_coding	579	2852	6117	9234	453	11	93	1725	2	5382	6117	0	0	0	0	138	138	1251	7	288	8	1	2001	2685
ITIH5	ENSG00000123243	ENST00000256861	protein_coding	459	2525	6288	14205	11316	26	237	117	2	3042	6288	0	0	0	0	78	78	711	7	288	8	1	2019	117
ITIH6	ENSG00000102313	ENST00000218436	protein_coding	545	10084	8507	5544	2988	11	90	117	2	2808	8453	0	0	0	6714	72	72	657	7	386	8	1	2969	117
ITK	ENSG00000113263	ENST00000422843	protein_coding	8622	13128	4247	11205	7539	71	456	117	2	3744	4085	0	8148	0	11412	96	96	873	7	267	8	1	1219	117
ITLN1	ENSG00000179914	ENST00000326245	protein_coding	229	4349	2088	2259	375	48	348	117	2	1638	2070	0	0	0	3429	42	42	387	7	130	8	1	608	117
ITLN2	ENSG00000158764	ENST00000368029	protein_coding	222	4348	2152	2055	345	23	174	117	2	1638	2152	0	0	0	3420	42	42	387	7	123	8	1	641	117
ITM2A	ENSG00000078596	ENST00000373298	protein_coding	162	3079	1768	3711	2115	62	432	117	2	1170	1732	0	0	0	2322	30	30	279	7	88	7	2	538	117
ITM2B	ENSG00000136156	ENST00000378565	protein_coding	181	6903	1805	5073	3300	63	609	117	2	1170	1769	0	0	0	6174	30	30	279	7	106	8	1	510	117
ITM2C	ENSG00000135916	ENST00000326427	protein_coding	157	3110	1792	4986	3444	40	378	117	2	1170	1738	0	0	0	2358	30	30	279	7	82	8	1	574	117
ITPA	ENSG00000125877	ENST00000380113	protein_coding	1809	748	1252	7353	1224	77	576	3453	2	1638	1252	0	1632	0	0	42	42	387	7	78	8	1	407	798
ITPK1	ENSG00000100605	ENST00000267615	protein_coding	2485	1326	2726	19950	13941	63	522	3510	2	2340	2726	0	2232	0	0	60	60	549	7	118	8	1	873	117
ITPKA	ENSG00000137825	ENST00000260386	protein_coding	1820	3743	2968	11001	1149	20	159	8469	2	1395	2968	0	1608	0	2448	36	36	333	7	125	8	1	1047	117
ITPKB	ENSG00000143772	ENST00000272117	protein_coding	385	2586	6245	10293	8943	0	0	117	2	1404	6164	0	0	0	396	36	36	333	7	298	8	1	2043	117
ITPKC	ENSG00000086544	ENST00000263370	protein_coding	526	4008	4475	15909	3900	9	99	7968	2	1404	4457	0	198	0	2349	36	36	333	7	241	8	1	1440	2826
ITPR1	ENSG00000150995	ENST00000302640	protein_coding	1721	7761	18294	18696	4845	155	1050	117	2	15447	18294	0	0	0	0	360	360	3231	7	987	7	2	5397	117
ITPR2	ENSG00000123104	ENST00000381340	protein_coding	1784	49723	18051	17865	5964	171	1251	117	2	13104	17997	0	0	0	42372	336	336	3033	7	1097	8	1	5206	117
ITPR3	ENSG00000096433	ENST00000374316	protein_coding	1521	7938	17788	21549	2382	388	3180	4224	2	14430	17788	0	0	0	0	348	348	3141	7	810	8	1	5432	117
ITPRIP	ENSG00000148841	ENST00000278071	protein_coding	209	1469	3591	8760	6795	196	1359	117	2	468	3591	0	0	0	0	12	12	117	7	170	8	1	1153	117
ITPRIPL1	ENSG00000198885	ENST00000420728	protein_coding	219	1256	3865	501	75	0	6	117	0	234	3865	0	0	0	0	6	6	63	0	199	8	1	1210	117
ITPRIPL2	ENSG00000205730	ENST00000381440	protein_coding	161	6385	3358	18489	16665	184	1590	117	2	0	3349	0	0	0	4887	0	0	9	7	147	7	2	1310	117
ITSN1	ENSG00000205726	ENST00000381285	protein_coding	1231	4967	11292	11703	3015	93	804	117	2	9048	11292	0	0	0	0	234	234	2106	7	748	8	1	3440	591
ITSN2	ENSG00000198399	ENST00000355123	protein_coding	1430	28958	11221	11106	2286	170	1332	117	2	9126	11131	0	102	0	24156	234	234	2115	7	845	8	1	3288	117
